Unnamed: 0,Date,tmax,tmin,prcp
20001,1948-10-05,70.0,53.0,0.0
20002,1948-10-06,83.0,52.0,0.0
20003,1948-10-07,93.0,48.0,0.0
20004,1948-10-08,97.0,50.0,0.0
20005,1948-10-09,78.0,57.0,0.0
20006,1948-10-10,74.0,55.0,0.0
20007,1948-10-11,70.0,54.0,0.0
20008,1948-10-12,75.0,50.0,0.0
20009,1948-10-13,74.0,51.0,0.0
20010,1948-10-14,72.0,47.0,0.0
20011,1948-10-15,73.0,52.0,0.0
20012,1948-10-16,72.0,51.0,0.0
20013,1948-10-17,74.0,49.0,0.13
20014,1948-10-18,72.0,57.0,0.7
20015,1948-10-19,70.0,54.0,0.04
20016,1948-10-20,76.0,59.0,0.0
20017,1948-10-21,78.0,55.0,0.0
20018,1948-10-22,89.0,52.0,0.0
20019,1948-10-23,88.0,50.0,0.0
20020,1948-10-24,85.0,51.0,0.0
20021,1948-10-25,79.0,51.0,0.0
20022,1948-10-26,73.0,52.0,0.0
20023,1948-10-27,60.0,56.0,0.0
20024,1948-10-28,64.0,49.0,0.0
20025,1948-10-29,63.0,55.0,0.02
20026,1948-10-30,62.0,44.0,0.36
20027,1948-10-31,70.0,38.0,0.0
20028,1948-11-01,80.0,40.0,0.0
20029,1948-11-02,77.0,41.0,0.0
20030,1948-11-03,63.0,50.0,0.0
20031,1948-11-04,75.0,51.0,0.0
20032,1948-11-05,83.0,46.0,0.0
20033,1948-11-06,88.0,39.0,0.0
20034,1948-11-07,82.0,37.0,0.0
20035,1948-11-08,76.0,38.0,0.0
20036,1948-11-09,81.0,37.0,0.0
20037,1948-11-10,82.0,33.0,0.0
20038,1948-11-11,78.0,33.0,0.0
20039,1948-11-12,81.0,36.0,0.0
20040,1948-11-13,82.0,34.0,0.0
20041,1948-11-14,79.0,32.0,0.0
20042,1948-11-15,73.0,32.0,0.0
20043,1948-11-16,76.0,34.0,0.0
20044,1948-11-17,69.0,41.0,0.0
20045,1948-11-18,74.0,37.0,0.0
20046,1948-11-19,73.0,34.0,0.0
20047,1948-11-20,68.0,40.0,0.0
20048,1948-11-21,75.0,33.0,0.0
20049,1948-11-22,72.0,38.0,0.0
20050,1948-11-23,77.0,32.0,0.0
20051,1948-11-24,75.0,33.0,0.0
20052,1948-11-25,69.0,32.0,0.0
20053,1948-11-26,68.0,32.0,0.0
20054,1948-11-27,68.0,31.0,0.0
20055,1948-11-28,78.0,33.0,0.0
20056,1948-11-29,80.0,32.0,0.0
20057,1948-11-30,74.0,31.0,0.0
20058,1948-12-01,75.0,30.0,0.0
20059,1948-12-02,78.0,32.0,0.0
20060,1948-12-03,65.0,31.0,0.0
20061,1948-12-04,58.0,39.0,0.26
20062,1948-12-05,65.0,29.0,0.0
20063,1948-12-06,58.0,32.0,0.0
20064,1948-12-07,69.0,32.0,0.0
20065,1948-12-08,71.0,34.0,0.0
20066,1948-12-09,81.0,37.0,0.0
20067,1948-12-10,74.0,34.0,0.0
20068,1948-12-11,65.0,40.0,0.0
20069,1948-12-12,67.0,34.0,0.0
20070,1948-12-13,64.0,35.0,0.0
20071,1948-12-14,58.0,44.0,0.0
20072,1948-12-15,59.0,35.0,0.07
20073,1948-12-16,55.0,30.0,0.0
20074,1948-12-17,54.0,45.0,0.55
20075,1948-12-18,65.0,39.0,0.13
20076,1948-12-19,68.0,32.0,0.0
20077,1948-12-20,62.0,28.0,0.0
20078,1948-12-21,60.0,29.0,0.0
20079,1948-12-22,52.0,42.0,0.52
20080,1948-12-23,54.0,38.0,0.34
20081,1948-12-24,58.0,26.0,0.02
20082,1948-12-25,61.0,27.0,0.0
20083,1948-12-26,64.0,38.0,0.0
20084,1948-12-27,63.0,44.0,1.06
20085,1948-12-28,61.0,30.0,0.1
20086,1948-12-29,68.0,30.0,0.0
20087,1948-12-30,65.0,29.0,0.0
20088,1948-12-31,65.0,40.0,0.0
20089,1949-01-01,55.0,38.0,0.03
20090,1949-01-02,57.0,48.0,0.07
20091,1949-01-03,52.0,26.0,0.0
20092,1949-01-04,53.0,28.0,0.0
20093,1949-01-05,58.0,21.0,0.0
20094,1949-01-06,71.0,28.0,0.0
20095,1949-01-07,64.0,27.0,0.0
20096,1949-01-08,63.0,28.0,0.0
20097,1949-01-09,52.0,38.0,0.14
20098,1949-01-10,48.0,31.0,0.53
20099,1949-01-11,44.0,30.0,0.83
20100,1949-01-12,55.0,28.0,0.45
20101,1949-01-13,44.0,39.0,1.36
20102,1949-01-14,50.0,37.0,0.41
20103,1949-01-15,53.0,30.0,0.01
20104,1949-01-16,53.0,27.0,0.0
20105,1949-01-17,67.0,28.0,0.0
20106,1949-01-18,55.0,27.0,0.0
